0134+329,0224+671,0235+164,0300+470,0316+413,0355+508,0444+634
9.558,1.470,3.080,2.280,41.522,8.180,0.466
9.772,1.520,2.890,2.200,40.377,8.090,0.468
9.554,1.480,3.070,2.240,41.928,8.180,0.492
9.768,1.450,2.990,2.250,42.034,8.120,0.471
9.443,1.480,3.140,2.260,40.888,8.050,0.496
9.737,1.490,3.000,2.320,41.542,8.010,0.460
9.598,1.490,3.030,2.280,41.690,8.380,0.481
9.519,1.490,3.040,2.310,40.867,8.000,0.493
9.715,1.490,2.880,2.290,42.421,7.980,0.493
9.574,1.490,2.970,2.290,42.492,8.030,0.530
9.606,1.540,3.010,2.290,41.754,8.060,0.540
9.628,1.510,2.950,2.240,41.274,8.020,0.521
9.502,1.450,3.170,2.280,42.379,8.040,0.476
9.699,1.480,3.180,2.210,40.848,8.180,0.452
9.236,1.420,3.160,2.280,42.510,8.110,0.430
9.971,1.450,3.070,2.260,41.852,8.140,0.406
8.827,1.390,3.040,2.290,40.403,8.120,0.407
8.846,1.410,2.900,2.250,42.114,8.120,0.381
8.073,1.430,2.980,2.260,40.942,8.050,0.374
9.585,1.380,2.940,2.270,41.161,8.130,0.363
9.608,1.430,2.940,2.230,41.715,8.110,0.380
9.526,1.420,2.990,2.310,41.176,8.130,0.359
9.415,1.420,3.000,2.240,43.500,8.100,0.362
9.574,1.430,2.890,2.250,41.245,8.100,0.388
9.735,1.400,2.660,2.230,40.905,8.040,0.384
9.433,1.530,2.830,2.230,40.342,8.070,0.384
9.810,1.440,2.820,2.200,41.075,8.110,0.403
9.484,1.440,2.910,2.240,40.940,8.090,0.418
9.382,1.430,2.950,2.220,42.409,8.180,0.403
9.839,1.400,2.920,2.210,42.202,8.190,0.410
9.750,1.400,2.700,2.120,40.915,8.130,0.422
9.619,1.380,2.710,2.260,40.633,7.990,0.400
9.926,1.380,2.700,2.160,40.275,8.400,0.434
9.906,1.380,2.670,2.150,41.499,8.250,0.438
9.949,1.330,2.590,2.150,41.120,8.180,0.458
9.682,1.370,2.610,2.140,42.024,8.220,0.456
10.311,1.380,2.590,2.150,40.789,8.220,0.450
10.088,1.400,2.670,2.120,41.572,8.190,0.450
9.987,1.390,2.670,2.110,39.805,8.340,0.455
9.946,1.370,2.710,2.140,39.108,8.080,0.462
9.472,1.390,2.710,2.160,40.799,8.250,0.451
9.868,1.330,2.470,2.150,40.758,8.240,0.451
9.668,1.360,2.600,2.170,40.106,8.220,0.454
9.354,1.340,2.500,2.120,40.635,8.200,0.456
9.784,1.370,2.510,2.130,39.962,8.270,0.439
9.653,1.410,2.500,2.130,40.119,8.310,0.431
10.183,1.300,2.420,2.140,40.189,8.250,0.405
9.343,1.340,2.520,2.080,40.492,8.200,0.408
9.426,1.320,2.400,2.130,39.621,8.320,0.409
9.968,1.330,2.320,2.110,40.269,8.250,0.415
9.576,1.380,2.460,2.110,40.794,8.280,0.397
9.364,1.310,2.490,2.120,40.757,8.290,0.367
9.702,1.340,2.300,2.110,38.803,8.290,0.370
9.682,1.370,2.290,2.140,39.788,8.420,0.353
9.574,1.280,2.370,2.110,39.440,8.310,0.348
9.670,1.370,2.240,2.100,40.116,8.400,0.344
9.536,1.340,2.280,2.110,40.167,8.340,0.328
9.067,1.380,2.350,2.160,39.923,8.310,0.323
9.556,1.370,2.350,2.160,39.635,8.330,0.331
9.470,1.350,2.350,2.110,39.779,8.170,0.338
9.292,1.380,2.360,2.160,39.844,8.260,0.337
9.462,1.410,2.400,2.180,39.171,8.360,0.363
